Fecha y Hora: 2020-10-06 22:42:03.599939
Nombre Archivo: ShesElectric.mp4
Tamaño Archivo: 110672218
179.32.93.116:45658;OK;510.827407;38574;38560;14;105799224;105785444;
179.32.93.116:45668;OK;511.973434;38908;38901;7;106650532;106646016;
179.32.93.116:45652;OK;513.706036;38103;38088;15;104391912;104376672;
179.32.93.116:45676;OK;637.272348;37866;37862;4;103238540;103236980;
179.32.93.116:45670;OK;656.856879;38044;38040;4;103675488;103673928;
179.32.93.116:45662;OK;675.843754;37581;37577;4;102206500;102206364;
179.32.93.116:45660;OK;729.419505;36633;36625;8;99231936;99223104;
179.32.93.116:45648;OK;736.561975;36680;36674;6;99370056;99367000;
179.32.93.116:45656;OK;776.052231;36184;36177;7;97908256;97902312;
179.32.93.116:45650;OK;783.368346;36017;35999;18;97443096;97415380;
179.32.93.116:45654;OK;799.654463;35329;35310;19;95309068;95281320;
179.32.93.116:45666;OK;813.726288;35241;35222;19;94812164;94784416;
179.32.93.116:45672;OK;819.843927;34745;34703;42;93285468;93209860;
179.32.93.116:45664;OK;829.620138;35861;35840;21;96505620;96467812;
179.32.93.116:45674;OK;832.844049;34787;34751;36;93769480;93702632;
