Fecha y Hora: 2020-10-06 22:25:14.145821
Nombre Archivo: ShesElectric.mp4
Tamaño Archivo: 110672218
179.32.93.116:45118;OK;258.564704;38396;38391;5;107198208;107196612;
179.32.93.116:45122;OK;467.441975;37802;37797;5;104123280;104121684;
179.32.93.116:45110;OK;489.283855;37733;37729;4;103816904;103815344;
179.32.93.116:45120;OK;510.638584;36593;36588;5;100412248;100410652;
179.32.93.116:45116;OK;526.637048;36491;36486;5;100127196;100125600;
179.32.93.116:45112;OK;528.860497;35886;35882;4;98274284;98274148;
179.32.93.116:45114;OK;572.751074;35651;35642;9;97489476;97479184;
179.32.93.116:45106;OK;580.250025;35943;35934;9;98251200;98240908;
179.32.93.116:45108;OK;589.347436;36197;36188;9;99007904;98997612;
179.32.93.116:45104;OK;591.813418;35820;35814;6;97830920;97827864;
