Fecha y Hora: 2020-10-06 22:11:24.407770
Nombre Archivo: ShesElectric.mp4
Tamaño Archivo: 110672218
179.32.93.116:44710;OK;307.51022;38477;38473;4;106912344;106912208;
179.32.93.116:44706;OK;425.08197;37824;37819;5;104506688;104505092;
179.32.93.116:44718;OK;470.82241;37466;37461;5;103167192;103165596;
179.32.93.116:44704;OK;501.998642;37115;37111;4;102033552;102033416;
179.32.93.116:44720;OK;512.114642;37075;37070;5;101753812;101752216;
179.32.93.116:44712;OK;523.850861;36447;36441;6;100172912;100169856;
179.32.93.116:44722;OK;546.517169;36346;36339;7;99628468;99623952;
179.32.93.116:44702;OK;563.165024;36320;36313;7;99340608;99336092;
179.32.93.116:44716;OK;578.939263;36106;36096;10;98775412;98762232;
179.32.93.116:44708;OK;580.520704;36079;36062;17;98724600;98698312;
