Fecha y Hora: 2020-10-06 21:26:38.260518
Nombre Archivo: ShesElectric.mp4
Tamaño Archivo: 110672218
179.32.93.116:43268;OK;248.252293;38111;38107;4;106492728;106492592;
179.32.93.116:43260;OK;398.065446;38352;38349;3;106164352;106164252;
179.32.93.116:43250;OK;437.342396;37734;37730;4;104176796;104176660;
179.32.93.116:43252;OK;437.631418;37605;37601;4;103988456;103988320;
179.32.93.116:43254;OK;466.544832;37190;37186;4;102465304;102463744;
179.32.93.116:43264;OK;496.827721;36883;36878;5;101514904;101511880;
179.32.93.116:43262;OK;504.905536;36960;36955;5;101614472;101612876;
179.32.93.116:43258;OK;513.973817;36845;36840;5;101302344;101299320;
179.32.93.116:43256;OK;522.413529;36595;36588;7;100616044;100608672;
179.32.93.116:43266;OK;530.372016;36505;36500;5;100393252;100390228;
