Fecha y Hora: 2020-10-06 22:58:06.539764
Nombre Archivo: ShesElectric.mp4
Tamaño Archivo: 110672218
179.32.93.116:45946;OK;650.150596;38179;38169;10;103724080;103713756;
179.32.93.116:45972;OK;666.208986;37818;37811;7;102961236;102955292;
179.32.93.116:45956;OK;672.31754;38167;38164;3;103849520;103849420;
179.32.93.116:45950;OK;709.11161;37780;37771;9;102418972;102410108;
179.32.93.116:45954;OK;768.610887;37419;37411;8;101334992;101324732;
179.32.93.116:45962;OK;769.26828;37132;37122;10;100411888;100400136;
179.32.93.116:45966;OK;796.782751;37338;37329;9;100791184;100782324;
179.32.93.116:45958;OK;802.952894;35962;35941;21;96974380;96936572;
179.32.93.116:45974;OK;825.145574;36648;36625;23;98797040;98753456;
179.32.93.116:45970;OK;837.874989;36173;36156;17;97463468;97438640;
179.32.93.116:45948;OK;857.012116;37228;37209;19;100210992;100178960;
179.32.93.116:45960;OK;865.53787;36565;36548;17;98278404;98256432;
179.32.93.116:45968;OK;868.191398;35666;35637;29;96004916;95954000;
179.32.93.116:45964;OK;869.277617;36517;36496;21;98296148;98262624;
179.32.93.116:45952;OK;873.61632;35942;35904;38;96742404;96669780;
